"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"svchost","0","222","2203411173376","2682880","2744320","12096","C:\Windows\System32\svchost.exe","Microsoft Corporation","0.78125","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"4052","Microsoft.Win32.SafeHandles.SafeProcessHandle","222","2532",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12096","12096","2744320","2744320","110248","110248","3002368","3002368","11665408","11665408","104873984","2203423096832","True","Normal","2744320","2744320","00:00:00.5937500","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","2/15/2026 2:36:06 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.7812500","00:00:00.1875000","92950528","2203411173376","False",,,,"2682880","2682880",,
"svchost","1","346","2203492253696","11423744","4403200","17536","C:\Windows\system32\svchost.exe","Microsoft Corporation","0.453125","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3792","Microsoft.Win32.SafeHandles.SafeProcessHandle","346","2584",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17536","17536","4403200","4403200","246272","246272","4501504","4501504","18243584","18243584","175603712","2203493826560","True","Normal","4403200","4403200","00:00:00.2031250","svchost","3","True","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:36:36 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4531250","00:00:00.2500000","174030848","2203492253696","False",,,,"11423744","11423744",,
"svchost","0","219","2203399532544","0","2072576","13992","C:\Windows\system32\svchost.exe","Microsoft Corporation","0.0625","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3924","Microsoft.Win32.SafeHandles.SafeProcessHandle","219","4276",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13992","13992","2072576","2072576","79968","79968","2285568","2285568","8003584","8003584","84455424","2203402678272","True","Normal","2072576","2072576","00:00:00.0625000","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","2/15/2026 2:36:31 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0625000","00:00:00","81309696","2203399532544","False",,,,"0","0",,
"svchost","1","946","2203609739264","4067328","15052800","39832","C:\Windows\system32\svchost.exe","Microsoft Corporation","8.125","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3980","Microsoft.Win32.SafeHandles.SafeProcessHandle","946","4548",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","39832","39832","15052800","15052800","406440","406440","18554880","18554880","53137408","53137408","306106368","2203624329216","True","Normal","15052800","15052800","00:00:02.6718750","svchost","3","True","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:36:25 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:08.1250000","00:00:05.4531250","291516416","2203609739264","False",,,,"4067328","4067328",,
"svchost","0","218","2203412525056","40960","2764800","13264","C:\Windows\system32\svchost.exe","Microsoft Corporation","0.0625","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3452","Microsoft.Win32.SafeHandles.SafeProcessHandle","218","5408",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13264","13264","2764800","2764800","107328","107328","5218304","5218304","13811712","13811712","112500736","2203430723584","True","Normal","2764800","2764800","00:00:00.0312500","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","2/15/2026 2:38:15 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0625000","00:00:00.0312500","94302208","2203412525056","False",,,,"40960","40960",,
"svchost","0","130","2203396714496","0","1703936","8560",,,,,,,,"Process","8",,"True",,,,"130","5780",".","0","",,,,,"8560","8560","1703936","1703936","80776","80776","1974272","1974272","7712768","7712768","82161664","2203400384512",,,"1703936","1703936",,"svchost",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"78491648","2203396714496","False",,,,"0","0",,
"svchost","0","231","2203402469376","839680","3268608","13136",,,"0.21875",,,,,"Process","8",,,,,,"231","6664",".","0","",,,,,"13136","13136","3268608","3268608","83992","83992","3698688","3698688","11550720","11550720","88969216","2203407192064",,,"3268608","3268608","00:00:00.1875000","svchost",,"True","0","System.Diagnostics.ProcessStartInfo","2/15/2026 2:38:16 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2187500","00:00:00.0312500","84246528","2203402469376","False",,,,"839680","839680",,
"Sysmon64","0","407","4413661184","3252224","9826304","17400",,,"8.234375",,,,,"Process","8",,,,,,"407","2720",".","0","",,,,,"17400","17400","9826304","9826304","145160","145160","12087296","12087296","23318528","23318528","132120576","4427087872",,,"9826304","9826304","00:00:03.9843750","Sysmon64",,"True","0","System.Diagnostics.ProcessStartInfo","2/15/2026 2:36:06 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:08.2343750","00:00:04.2500000","118693888","4413661184","False",,,,"3252224","3252224",,
"System","0","2699","4001792","0","200704","272",,,"68.890625",,,,,"Process","8",,,,,,"2699","4",".","0","",,,,,"272","272","200704","200704","0","0","221184","221184","3862528","3862528","14864384","14864384",,,"200704","200704","00:01:08.8906250","System",,"True","0","System.Diagnostics.ProcessStartInfo","2/15/2026 2:35:47 PM",,"System.Diagnostics.ProcessThreadCollection","00:01:08.8906250","00:00:00","4001792","4001792","False",,,,"0","0",,
"SystemSettings","1","816","2203760922624","0","29884416","41296","C:\Windows\ImmersiveControlPanel\SystemSettings.exe","Microsoft Corporation","0.8125","10.0.19041.6456 (WinBuild.160101.0800)","10.0.19041.6456","Settings","Microsoft? Windows? Operating System","Process","8",,"False",,"3960","Microsoft.Win32.SafeHandles.SafeProcessHandle","816","1860",".","197570","Settings","System.Diagnostics.ProcessModule (SystemSettings.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","41296","41296","29884416","29884416","788672","788672","37724160","37724160","97443840","97443840","448991232","2203767214080","True","Normal","29884416","29884416","00:00:00.3906250","SystemSettings","3","False","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:39:15 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.8125000","00:00:00.4218750","442699776","2203760922624","False",,,,"0","0",,
