"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"dllhost","1","137","2203407753216","2850816","1511424","8288","C:\Windows\system32\DllHost.exe","Microsoft Corporation","0.03125","10.0.19041.3636 (WinBuild.160101.0800)","10.0.19041.3636","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"3216","Microsoft.Win32.SafeHandles.SafeProcessHandle","137","5556",".","0","","System.Diagnostics.ProcessModule (DllHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8288","8288","1511424","1511424","105224","105224","1716224","1716224","7405568","7405568","93732864","2203411955712","True","Normal","1511424","1511424","00:00:00.0156250","dllhost","3","True","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:42:08 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00.0156250","89530368","2203407753216","False",,,,"2850816","2850816",,
"dwm","1","1133","2203720945664","20717568","64561152","52384","C:\Windows\system32\dwm.exe","Microsoft Corporation","7.28125","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Desktop Window Manager","Microsoft? Windows? Operating System","Process","13",,"False",,"3248","Microsoft.Win32.SafeHandles.SafeProcessHandle","1133","1016",".","0","","System.Diagnostics.ProcessModule (dwm.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","52384","52384","64561152","64561152","710528","710528","92127232","92127232","70414336","70414336","426577920","2203744800768","True","High","64561152","64561152","00:00:03.5937500","dwm","3","True","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:35:56 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:07.2812500","00:00:03.6875000","402722816","2203720945664","False",,,,"20717568","20717568",,
"explorer","1","2895","2204051767296","69652480","94089216","139768","C:\Windows\Explorer.EXE","Microsoft Corporation","23.84375","10.0.19041.6159 (WinBuild.160101.0800)","10.0.19041.6159","Windows Explorer","Microsoft? Windows? Operating System","Process","8",,"False",,"3280","Microsoft.Win32.SafeHandles.SafeProcessHandle","2895","3020",".","65696","","System.Diagnostics.ProcessModule (Explorer.EXE)","1413120","204800","System.Diagnostics.ProcessModuleCollection","139768","139768","94089216","94089216","1338768","1338768","99155968","99155968","113758208","113758208","766205952","2204084428800","True","Normal","94089216","94089216","00:00:13.5937500","explorer","3","True","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:36:29 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:23.8437500","00:00:10.2500000","733544448","2204051767296","False",,,,"69652480","69652480",,
"FileCoAuth","1","210","2203486384128","2396160","9588736","16992","C:\Users\Windows10\AppData\Local\Microsoft\OneDrive\26.007.0112.0002\FileCoAuth.exe","Microsoft Corporation","0.1875","26.007.0112.0002","26.007.0112.0002","Microsoft OneDriveFile Co-Authoring Executable","Microsoft OneDrive","Process","8",,"False",,"3312","Microsoft.Win32.SafeHandles.SafeProcessHandle","210","7720",".","0","","System.Diagnostics.ProcessModule (FileCoAuth.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16992","16992","9588736","9588736","237440","237440","9674752","9674752","26787840","26787840","171315200","2203489538048","True","Normal","9588736","9588736","00:00:00.0625000","FileCoAuth","3","True","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:41:35 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1875000","00:00:00.1250000","168161280","2203486384128","False",,,,"2396160","2396160",,
"fontdrvhost","0","50","2203390300160","0","1540096","6520","C:\Windows\system32\fontdrvhost.exe","Microsoft Corporation","0.09375","10.0.19041.5794 (WinBuild.160101.0800)","10.0.19041.5794","Usermode Font Driver Host","Microsoft? Windows? Operating System","Process","8",,"False",,"3352","Microsoft.Win32.SafeHandles.SafeProcessHandle","50","792",".","0","","System.Diagnostics.ProcessModule (fontdrvhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","6520","6520","1540096","1540096","44208","44208","1613824","1613824","4202496","4202496","73134080","2203391356928","True","Normal","1540096","1540096","00:00:00.0625000","fontdrvhost","3","True","0","System.Diagnostics.ProcessStartInfo","2/15/2026 2:35:54 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0937500","00:00:00.0312500","72077312","2203390300160","False",,,,"0","0",,
"fontdrvhost","1","50","2203654541312","1159168","9846784","16856","C:\Windows\system32\fontdrvhost.exe","Microsoft Corporation","1.546875","10.0.19041.5794 (WinBuild.160101.0800)","10.0.19041.5794","Usermode Font Driver Host","Microsoft? Windows? Operating System","Process","8",,"False",,"3324","Microsoft.Win32.SafeHandles.SafeProcessHandle","50","800",".","0","","System.Diagnostics.ProcessModule (fontdrvhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16856","16856","9846784","9846784","529584","529584","11210752","11210752","17326080","17326080","402649088","2203720871936","True","Normal","9846784","9846784","00:00:00.8593750","fontdrvhost","3","True","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:35:54 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.5468750","00:00:00.6875000","336318464","2203654541312","False",,,,"1159168","1159168",,
"Idle","0","0","8192","8192","61440","272",,,,,,,,"Process","0",,,,,,"0","0",".","0","",,,,,"272","272","61440","61440","0","0","61440","61440","12288","12288","8192","8192",,,"61440","61440",,"Idle",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"8192","8192","False",,,,"8192","8192",,
"lsass","0","1224","2203419570176","3354624","6606848","24576","C:\Windows\system32\lsass.exe","Microsoft Corporation","2.640625","10.0.19041.6328 (WinBuild.160101.0800)","10.0.19041.6328","Local Security Authority Process","Microsoft? Windows? Operating System","Process","9",,"False",,"3436","Microsoft.Win32.SafeHandles.SafeProcessHandle","1224","684",".","0","","System.Diagnostics.ProcessModule (lsass.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","24576","24576","6606848","6606848","164896","164896","7290880","7290880","16109568","16109568","103444480","2203421667328","True","Normal","6606848","6606848","00:00:01.3437500","lsass","3","True","0","System.Diagnostics.ProcessStartInfo","2/15/2026 2:35:52 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.6406250","00:00:01.2968750","101347328","2203419570176","False",,,,"3354624","3354624",,
"Memory Compression","0","0","309329920","298827776","679936","0",,,"18.9375",,,,,"Process","8",,,,,,"0","1392",".","0","",,,,,"0","0","679936","679936","4224","4224","679936","679936","302596096","302596096","313655296","313655296",,,"679936","679936","00:00:18.9375000","Memory Compression",,"True","0","System.Diagnostics.ProcessStartInfo","2/15/2026 2:35:58 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:18.9375000","00:00:00","309329920","309329920","False",,,,"298827776","298827776",,
"MpDefenderCoreService","0","398","2203430486016","1802240","5541888","16072",,,"1.40625",,,,,"Process","8",,,,,,"398","2640",".","0","",,,,,"16072","16072","5541888","5541888","147448","147448","7303168","7303168","18096128","18096128","114925568","2203433148416",,,"5541888","5541888","00:00:01.0625000","MpDefenderCoreService",,"True","0","System.Diagnostics.ProcessStartInfo","2/15/2026 2:36:06 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.4062500","00:00:00.3437500","112263168","2203430486016","False",,,,"1802240","1802240",,
